id,title,creator
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p91,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p92,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p93,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p94,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p95,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p96,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p97,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p98,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p99,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p100,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p101,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p102,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p103,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p104,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p105,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p106,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p107,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p108,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p109,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p110,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p111,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p112,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p113,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p114,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p115,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p116,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p117,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p118,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p119,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p120,,
https://dl.ficlit.unibo.it/iiif/2/28429/canvas/p121,,
